Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
173,Welcome to Germany,28036021.0,0,0,"2,80,36,021",100%,2016
174,The Brothers Grimsby,27979040.0,"68,74,837",24.60%,"2,11,04,203",75.40%,2016
175,When Larry Meets Mary,27863090.0,0,0,"2,78,63,090",100%,2016
176,Yesterday Once More,27413790.0,0,0,"2,74,13,790",100%,2016
177,The Light Between Oceans,25975621.0,"1,25,45,979",48.30%,"1,34,29,642",51.70%,2016
178,A Beautiful Planet,25730120.0,"1,56,50,615",60.80%,"1,00,79,505",39.20%,2016
179,Mr. Donkey,25537759.0,"3,56,255",1.40%,"2,51,81,504",98.60%,2016
180,Born in China,25081168.0,"1,38,73,211",55.30%,"1,12,07,957",44.70%,2016
181,Race,25070261.0,"1,92,06,207",76.60%,"58,64,054",23.40%,2016
182,Call of Heroes,25040561.0,0,0,"2,50,40,561",100%,2016
183,Free State of Jones,25035950.0,"2,08,10,036",83.10%,"42,25,914",16.90%,2016
184,Whiskey Tango Foxtrot,24972139.0,"2,30,83,334",92.40%,"18,88,805",7.60%,2016
185,Soulmate,24684439.0,0,0,"2,46,84,439",100%,2016
186,The Snow Queen 3: Fire and Ice,24644317.0,0,0,"2,46,44,317",100%,2016
187,God's Not Dead 2,24487848.0,"2,07,74,575",84.80%,"37,13,273",15.20%,2016
188,Camping 3,24224579.0,0,0,"2,42,24,579",100%,2016
189,The Founder,24121245.0,"1,27,86,053",53%,"1,13,35,192",47%,2016
190,Bad Santa 2,24079268.0,"1,77,82,178",73.80%,"62,97,090",26.20%,2016
191,Spirits' Homecoming,23857217.0,"1,25,616",0.50%,"2,37,31,601",99.50%,2016
192,Silence,23834809.0,"71,00,177",29.80%,"1,67,34,632",70.20%,2016
193,Kevin Hart: What Now?,23591043.0,"2,35,91,043",100%,0,0,2016
194,No Manches Frida,23540937.0,"1,15,28,613",49%,"1,20,12,324",51%,2016
195,Middle School: The Worst Years of My Life,23316139.0,"2,00,07,149",85.80%,"33,08,990",14.20%,2016
196,Triple 9,23177948.0,"1,26,39,297",54.50%,"1,05,38,651",45.50%,2016
197,Rock Dog,23139802.0,"94,20,546",40.70%,"1,37,19,256",59.30%,2016
198,The Choice,23064015.0,"1,87,30,891",81.20%,"43,33,124",18.80%,2016
199,Penny Pincher!,22955486.0,0,0,"2,29,55,486",100%,2016
0,Star Wars: Episode VIII 0 The Last Jedi,1332539889.0,"62,01,81,382",46.50%,"71,23,58,507",53.50%,2017
1,Beauty and the Beast,1263521126.0,"50,40,14,165",39.90%,"75,95,06,961",60.10%,2017
2,The Fate of the Furious,1236005118.0,"22,60,08,385",18.30%,"1,00,99,96,733",81.70%,2017
3,Despicable Me 3,1034799409.0,"26,46,24,300",25.60%,"77,01,75,109",74.40%,2017
4,Jumanji: Welcome to the Jungle,962077546.0,"40,45,15,480",42%,"55,75,62,066",58%,2017
5,Spider0Man: Homecoming,880166924.0,"33,42,01,140",38%,"54,59,65,784",62%,2017
6,Wolf Warrior 2,870325439.0,"27,21,100",0.30%,"86,76,04,339",99.70%,2017
7,Guardians of the Galaxy Vol. 2,863756051.0,"38,98,13,101",45.10%,"47,39,42,950",54.90%,2017
8,Thor: Ragnarok,853977126.0,"31,50,58,289",36.90%,"53,89,18,837",63.10%,2017
9,Wonder Woman,822963408.0,"41,25,63,408",50.10%,"41,04,00,000",49.90%,2017
10,Coco,814641172.0,"21,04,60,015",25.80%,"60,41,81,157",74.20%,2017
11,Pirates of the Caribbean: Dead Men Tell No Tales,794861794.0,"17,25,58,876",21.70%,"62,23,02,918",78.30%,2017
12,It,702781748.0,"32,74,81,748",46.60%,"37,53,00,000",53.40%,2017
13,Justice League,661324295.0,"22,90,24,295",34.60%,"43,23,00,000",65.40%,2017
14,Logan,619021436.0,"22,62,77,068",36.60%,"39,27,44,368",63.40%,2017
15,Transformers: The Last Knight,605425157.0,"13,01,68,683",21.50%,"47,52,56,474",78.50%,2017
16,Kong: Skull Island,568652812.0,"16,80,52,812",29.60%,"40,06,00,000",70.40%,2017
17,The Boss Baby,527965936.0,"17,50,03,033",33.10%,"35,29,62,903",66.90%,2017
18,Dunkirk,526045546.0,"18,80,45,546",35.70%,"33,80,00,000",64.30%,2017
19,War for the Planet of the Apes,490719763.0,"14,68,80,162",29.90%,"34,38,39,601",70.10%,2017
20,The Greatest Showman,434993183.0,"17,43,40,174",40.10%,"26,06,53,009",59.90%,2017
21,Kingsman: The Golden Circle,410902662.0,"10,02,34,838",24.40%,"31,06,67,824",75.60%,2017
22,The Mummy,409231607.0,"8,02,27,895",19.60%,"32,90,03,712",80.40%,2017
23,Cars 3,383930656.0,"15,29,01,115",39.80%,"23,10,29,541",60.20%,2017
24,Fifty Shades Darker,381545846.0,"11,45,81,250",30%,"26,69,64,596",70%,2017
25,Murder on the Orient Express,352789811.0,"10,28,26,543",29.10%,"24,99,63,268",70.90%,2017
26,xXx: Return of Xander Cage,346118277.0,"4,48,98,413",13%,"30,12,19,864",87%,2017
27,Never Say Die,334530869.0,0,0,"33,45,30,869",100%,2017
28,The Lego Batman Movie,312150384.0,"17,57,50,384",56.30%,"13,64,00,000",43.70%,2017
29,The Ex0File 3: Return of the Exes,307592427.0,"8,38,959",0.30%,"30,67,53,468",99.70%,2017
30,Annabelle: Creation,306592201.0,"10,20,92,201",33.30%,"20,45,00,000",66.70%,2017
31,Wonder,305937718.0,"13,24,22,809",43.30%,"17,35,14,909",56.70%,2017
32,Ferdinand,296069199.0,"8,44,10,380",28.50%,"21,16,58,819",71.50%,2017
33,Split,278454358.0,"13,82,91,365",49.70%,"14,01,62,993",50.30%,2017
34,Blade Runner 2049,259154159.0,"9,20,54,159",35.50%,"16,71,00,000",64.50%,2017
35,Kung Fu Yoga,257743016.0,"3,62,657",0.10%,"25,73,80,359",99.90%,2017
36,Get Out,255407969.0,"17,60,40,665",68.90%,"7,93,67,304",31.10%,2017
37,Baahubali 2: The Conclusion,254158390.0,"2,01,86,659",7.90%,"23,39,71,731",92.10%,2017
38,Journey to the West: The Demons Strike Back,247585244.0,"8,80,346",0.40%,"24,67,04,898",99.60%,2017
39,Alien: Covenant,240891763.0,"7,42,62,031",30.80%,"16,66,29,732",69.20%,2017
40,Paddington 2,227291591.0,"4,08,91,591",18%,"18,64,00,000",82%,2017
41,Youth,227091290.0,"18,91,956",0.80%,"22,51,99,334",99.20%,2017
42,Baby Driver,226945087.0,"10,78,25,862",47.50%,"11,91,19,225",52.50%,2017
43,Valerian and the City of a Thousand Planets,225874228.0,"4,11,89,488",18.20%,"18,46,84,740",81.80%,2017
44,Geostorm,221900160.0,"3,37,00,160",15.20%,"18,82,00,000",84.80%,2017
45,The Emoji Movie,217776646.0,"8,60,89,513",39.50%,"13,16,87,133",60.50%,2017
46,A Dog's Purpose,205035819.0,"6,45,08,620",31.50%,"14,05,27,199",68.50%,2017
47,Smurfs: The Lost Village,197183546.0,"4,50,20,282",22.80%,"15,21,63,264",77.20%,2017
48,The Shape of Water,195243464.0,"6,38,59,435",32.70%,"13,13,84,029",67.30%,2017
49,Pitch Perfect 3,185400345.0,"10,48,97,530",56.60%,"8,05,02,815",43.40%,2017
50,The Hitman's Bodyguard,183415183.0,"7,54,68,583",41.10%,"10,79,46,600",58.90%,2017
51,Daddy's Home 2,180613180.0,"10,40,29,443",57.60%,"7,65,83,737",42.40%,2017
52,The Post,179769457.0,"8,19,03,458",45.60%,"9,78,65,999",54.40%,2017
53,Baywatch,177856751.0,"5,80,60,186",32.60%,"11,97,96,565",67.40%,2017
54,John Wick: Chapter 2,171539887.0,"9,20,29,184",53.60%,"7,95,10,703",46.40%,2017
55,Ghost in the Shell,169801921.0,"4,05,63,557",23.90%,"12,92,38,364",76.10%,2017
56,"Three Billboards Outside Ebbing, Missouri",160060063.0,"5,45,13,740",34.10%,"10,55,46,323",65.90%,2017
57,Duckweed,152894264.0,"4,71,575",0.30%,"15,24,22,689",99.70%,2017
58,Darkest Hour,150847207.0,"5,64,68,410",37.40%,"9,43,78,797",62.60%,2017
59,King Arthur: Legend of the Sword,149175066.0,"3,91,75,066",26.30%,"11,00,00,000",73.70%,2017
60,The Foreigner,145374099.0,"3,43,93,507",23.70%,"11,09,80,592",76.30%,2017
61,Power Rangers,142337240.0,"8,53,64,450",60%,"5,69,72,790",40%,2017
62,Girls Trip,140552359.0,"11,51,71,585",81.90%,"2,53,80,774",18.10%,2017
63,American Made,134866593.0,"5,13,42,000",38.10%,"8,35,24,593",61.90%,2017
64,A Bad Moms Christmas,130560428.0,"7,21,10,659",55.20%,"5,84,49,769",44.80%,2017
65,Happy Death Day,125479266.0,"5,56,83,845",44.40%,"6,97,95,421",55.60%,2017
66,Captain Underpants: The First Epic Movie,125427681.0,"7,39,21,000",58.90%,"5,15,06,681",41.10%,2017
67,The Lego Ninjago Movie,123681555.0,"5,92,81,555",47.90%,"6,44,00,000",52.10%,2017
68,Secret Superstar,122026260.0,0,0,"12,20,26,260",100%,2017
69,The Commuter,119942387.0,"3,63,43,858",30.30%,"8,35,98,529",69.70%,2017
70,Forever Young,119055731.0,0,0,"11,90,55,731",100%,2017
71,The Dark Tower,113231078.0,"5,07,01,325",44.80%,"6,25,29,753",55.20%,2017
72,Buddies in India,110155128.0,"2,93,194",0.30%,"10,98,61,934",99.70%,2017
73,Along With the Gods: The Two Worlds,109383972.0,"19,08,823",1.70%,"10,74,75,149",98.30%,2017
74,Immortal Demon Slayer,103818506.0,0,0,"10,38,18,506",100%,2017
75,Jigsaw,102952888.0,"3,80,52,832",37%,"6,49,00,056",63%,2017
76,Life,100541806.0,"3,02,34,022",30.10%,"7,03,07,784",69.90%,2017
77,Atomic Blonde,100014025.0,"5,16,87,870",51.70%,"4,83,26,155",48.30%,2017
78,Legend of the Demon Cat,97051623.0,0,0,"9,70,51,623",100%,2017
79,The Shack,96942115.0,"5,73,86,418",59.20%,"3,95,55,697",40.80%,2017
80,Chasing the Dragon,87965942.0,"4,56,854",0.50%,"8,75,09,088",99.50%,2017
81,Tiger Zinda Hai,87320000.0,"55,60,921",6.40%,"8,17,59,079",93.60%,2017
82,A Taxi Driver,86252940.0,"15,27,829",1.80%,"8,47,25,111",98.20%,2017
83,Going in Style,85218541.0,"4,50,18,541",52.80%,"4,02,00,000",47.20%,2017
84,Rings,83080890.0,"2,77,93,018",33.50%,"5,52,87,872",66.50%,2017
85,Once Upon A Time,82886178.0,"4,85,728",0.60%,"8,24,00,450",99.40%,2017
86,Paradox,79226860.0,0,0,"7,92,26,860",100%,2017
87,Lady Bird,78965611.0,"4,89,58,273",62%,"3,00,07,338",38%,2017
88,Fantastica: A Boonie Bears Adventure,77151096.0,0,0,"7,71,51,096",100%,2017
89,The Nut Job 2: Nutty by Nature,68743485.0,"2,83,70,522",41.30%,"4,03,72,963",58.70%,2017
90,American Assassin,67234188.0,"3,62,49,674",53.90%,"3,09,84,514",46.10%,2017
91,Victoria & Abdul,66558465.0,"2,22,45,070",33.40%,"4,43,13,395",66.60%,2017
92,Suck Me Shakespeer 3,64236772.0,0,0,"6,42,36,772",100%,2017
93,Detective Conan: Crimson Love Letter,63144805.0,0,0,"6,31,44,805",100%,2017
94,The Mountain Between Us,62832209.0,"3,03,48,555",48.30%,"3,24,83,654",51.70%,2017
95,The Star,62812974.0,"4,08,52,824",65%,"2,19,60,150",35%,2017
96,How to Be a Latin Lover,62547032.0,"3,21,49,404",51.40%,"3,03,97,628",48.60%,2017
97,47 Meters Down,62187529.0,"4,43,07,191",71.20%,"1,78,80,338",28.80%,2017
98,"Everything, Everything",61721140.0,"3,41,21,140",55.30%,"2,76,00,000",44.70%,2017
99,Doraemon: Great Adventure in the Antarctic Kachi Kochi,61153455.0,0,0,"6,11,53,455",100%,2017
100,Snatched,60845711.0,"4,58,52,178",75.40%,"1,49,93,533",24.60%,2017
101,The Founding of an Army,60600361.0,0,0,"6,06,00,361",100%,2017
102,My Little Pony: The Movie,60330833.0,"2,18,85,107",36.30%,"3,84,45,726",63.70%,2017
103,Molly's Game,59284015.0,"2,87,80,744",48.50%,"3,05,03,271",51.50%,2017
104,Xian yi ren X de xian shen,59035664.0,"6,86,435",1.20%,"5,83,49,229",98.80%,2017
105,Shock Wave,58824459.0,0,0,"5,88,24,459",100%,2017
106,Goldbuster,57628292.0,"1,86,135",0.30%,"5,74,42,157",99.70%,2017
107,All the Money in the World,56996304.0,"2,51,13,707",44.10%,"3,18,82,597",55.90%,2017
108,The Big Sick,56411585.0,"4,28,73,127",76%,"1,35,38,458",24%,2017
109,Confidential Assignment,55972241.0,"4,75,618",0.80%,"5,54,96,623",99.20%,2017
110,All Eyez on Me,55668698.0,"4,49,22,302",80.70%,"1,07,46,396",19.30%,2017
111,Downsizing,55003890.0,"2,44,49,754",44.50%,"3,05,54,136",55.50%,2017
112,"I, Tonya",53939297.0,"3,00,14,539",55.60%,"2,39,24,758",44.40%,2017
113,1987: When the Day Comes,53834292.0,0,0,"5,38,34,292",100%,2017
114,The Outlaws,52946454.0,0,0,"5,29,46,454",100%,2017
115,Bleeding Steel,48825526.0,0,0,"4,88,25,526",100%,2017
116,Logan Lucky,48453605.0,"2,77,80,977",57.30%,"2,06,72,628",42.70%,2017
117,Boo 2! A Madea Halloween,48333932.0,"4,73,19,572",97.90%,"10,14,360",2.10%,2017
118,Sky Hunter,48065601.0,0,0,"4,80,65,601",100%,2017
119,Phantom Thread,47756590.0,"2,11,98,205",44.40%,"2,65,58,385",55.60%,2017
120,Rough Night,47347283.0,"2,21,05,643",46.70%,"2,52,41,640",53.30%,2017
121,Son of Bigfoot,47046281.0,"2,89,308",0.60%,"4,67,56,973",99.40%,2017
122,Three Seconds,46596415.0,0,0,"4,65,96,415",100%,2017
123,The Thousand Faces of Dunjia,46263237.0,"1,24,187",0.30%,"4,61,39,050",99.70%,2017
124,The Battleship Island,46183383.0,"11,04,957",2.40%,"4,50,78,426",97.60%,2017
125,Hanson and the Beast,46154323.0,0,0,"4,61,54,323",100%,2017
126,Gintama Live Action the Movie,45746967.0,0,0,"4,57,46,967",100%,2017
127,Guilty of Mind,45698503.0,0,0,"4,56,98,503",100%,2017
128,Flatliners,45158254.0,"1,68,83,115",37.40%,"2,82,75,139",62.60%,2017
129,Bad Genius,44560421.0,0,0,"4,45,60,421",100%,2017
130,Mother!,44516999.0,"1,78,00,004",40%,"2,67,16,995",60%,2017
131,Wind River,43980821.0,"3,38,00,859",76.90%,"1,01,79,962",23.10%,2017
132,Battle of Memories,43892362.0,"5,94,552",1.40%,"4,32,97,810",98.60%,2017
133,The Snowman,43155261.0,"67,00,035",15.50%,"3,64,55,226",84.50%,2017
134,Gifted,43046590.0,"2,48,01,212",57.60%,"1,82,45,378",42.40%,2017
135,Loving Vincent,42187665.0,"67,35,118",16%,"3,54,52,547",84%,2017
136,Call Me by Your Name,42112584.0,"1,80,95,701",43%,"2,40,16,883",57%,2017
137,Mary and the Witch's Flower,41978431.0,"24,18,404",5.80%,"3,95,60,027",94.20%,2017
138,T2 Trainspotting,41681746.0,"24,02,004",5.80%,"3,92,79,742",94.20%,2017
139,Fist Fight,41187017.0,"3,21,87,017",78.10%,"90,00,000",21.90%,2017
140,The Circle,40656399.0,"2,04,97,844",50.40%,"2,01,58,555",49.60%,2017
141,Diary of a Wimpy Kid: The Long Haul,40140972.0,"2,07,38,724",51.70%,"1,94,02,248",48.30%,2017
142,Brotherhood of Blades 2,39966092.0,"14,204",0,"3,99,51,888",100%,2017
143,Midnight Runners,39730433.0,0,0,"3,97,30,433",100%,2017
144,The King,37886707.0,0,0,"3,78,86,707",100%,2017
145,Pokémon the Movie: I Choose You!,37552144.0,"24,01,722",6.40%,"3,51,50,422",93.60%,2017
146,Home Again,37270721.0,"2,70,20,284",72.50%,"1,02,50,437",27.50%,2017
147,The Adventurers,36796816.0,"2,16,556",0.60%,"3,65,80,260",99.40%,2017
148,"Tad, the Lost Explorer, and the Secret of King Midas",35704046.0,"5,874",0,"3,56,98,172",100%,2017
149,Hostiles,35669017.0,"2,98,19,114",83.60%,"58,49,903",16.40%,2017
150,Namiya,35351623.0,"70,814",0.20%,"3,52,80,809",99.80%,2017
151,Destiny: The Tale of Kamakura,35166640.0,0,0,"3,51,66,640",100%,2017
152,The Liquidator,35046130.0,0,0,"3,50,46,130",100%,2017
153,Kidnap,34814102.0,"3,09,71,040",89%,"38,43,062",11%,2017
154,R.A.I.D. Special Unit,34598750.0,0,0,"3,45,98,750",100%,2017
155,The House,34284504.0,"2,55,84,504",74.60%,"87,00,000",25.40%,2017
156,I Want to Eat Your Pancreas,33748006.0,"2,77,019",0.80%,"3,34,70,987",99.20%,2017
157,Perfect Strangers,33262366.0,"10,14,507",3.10%,"3,22,47,859",96.90%,2017
158,Sleepless,32917353.0,"2,07,83,704",63.10%,"1,21,33,649",36.90%,2017
159,Hindi Medium,32841493.0,0,0,"3,28,41,493",100%,2017
160,Steel Rain,32783733.0,0,0,"3,27,83,733",100%,2017
161,The House That Never Dies II,32433588.0,0,0,"3,24,33,588",100%,2017
162,The Invisible Guest,31191910.0,0,0,"3,11,91,910",100%,2017
163,This Is Not What I Expected,30996615.0,"3,37,670",1.10%,"3,06,58,945",98.90%,2017
164,The Last Warrior,30618274.0,0,0,"3,06,18,274",100%,2017
165,Reset 2017 Re0release,29949252.0,"1,08,970",0.40%,"2,98,40,282",99.60%,2017
166,The Bye Bye Man,29874280.0,"2,23,95,806",75%,"74,78,474",25%,2017
167,The Disaster Artist,29820616.0,"2,11,20,616",70.80%,"87,00,000",29.20%,2017
168,The Swindlers,29721916.0,"2,41,916",0.80%,"2,94,80,000",99.20%,2017
169,Alibi.com,29370592.0,0,0,"2,93,70,592",100%,2017
170,Sword Art Online the Movie: Ordinal Scale,29322339.0,"15,22,976",5.20%,"2,77,99,363",94.80%,2017
171,Recep Ivedik 5,28952258.0,0,0,"2,89,52,258",100%,2017
172,Judwaa 2,28733523.0,"14,31,255",5%,"2,73,02,268",95%,2017
173,The Fortress,28645448.0,"2,52,895",0.90%,"2,83,92,553",99.10%,2017
174,What Happened to Monday,27975429.0,0,0,"2,79,75,429",100%,2017
175,Monster Family,27890108.0,"1,27,259",0.50%,"2,77,62,849",99.50%,2017
176,The Beguiled,27869129.0,"1,07,09,995",38.40%,"1,71,59,134",61.60%,2017
177,CHIPS,26800152.0,"1,86,00,152",69.40%,"82,00,000",30.60%,2017
178,A Cure for Wellness,26620002.0,"81,06,986",30.50%,"1,85,13,016",69.50%,2017
179,Only the Brave,26351322.0,"1,83,43,983",69.60%,"80,07,339",30.40%,2017
180,Twenty Two,26289378.0,"46,796",0.20%,"2,62,42,582",99.80%,2017
181,The Zookeeper's Wife,26152835.0,"1,75,71,660",67.20%,"85,81,175",32.80%,2017
182,The Bride of Badrinath,26134309.0,"19,93,259",7.60%,"2,41,41,050",92.40%,2017
183,A Chinese Odyssey: Part 2 0 Cinderella 2017 Re0release,25960664.0,0,0,"2,59,60,664",100%,2017
184,Love Off the Cuff,25959989.0,0,0,"2,59,59,989",100%,2017
185,Father Figures,25701244.0,"1,75,01,244",68.10%,"82,00,000",31.90%,2017
186,Fireworks,25672406.0,"5,25,280",2%,"2,51,47,126",98%,2017
187,Money,25403753.0,0,0,"2,54,03,753",100%,2017
188,Leap! 2017 Re0release,25376094.0,"2,18,58,070",86.10%,"35,18,024",13.90%,2017
189,The Death of Stalin,24646055.0,"80,47,856",32.70%,"1,65,98,199",67.30%,2017
190,The 80Year Engagement,24425963.0,0,0,"2,44,25,963",100%,2017
191,Jolly LLB 2,24214186.0,"16,54,254",6.80%,"2,25,59,932",93.20%,2017
192,I Can Speak,24024444.0,"63,239",0.30%,"2,39,61,205",99.70%,2017
193,Wish Upon,23468586.0,"1,43,01,505",60.90%,"91,67,081",39.10%,2017
194,Detroit,23355100.0,"1,67,90,139",71.90%,"65,64,961",28.10%,2017
195,Extraordinary Mission,22757764.0,"54,174",0.20%,"2,27,03,590",99.80%,2017
196,The Glass Castle,22088533.0,"1,72,73,059",78.20%,"48,15,474",21.80%,2017
197,Épouse0moi mon pote,21571464.0,0,0,"2,15,71,464",100%,2017
198,The Prison,21205329.0,"2,07,481",1%,"2,09,97,848",99%,2017
199,One Hundred Thousand Bad Jokes 2,20460352.0,0,0,"2,04,60,352",100%,2017
0,Avengers: Infinity War,2048359754.0,"67,88,15,482",33.10%,"1,36,95,44,272",66.90%,2018
1,Black Panther,1346913161.0,"70,00,59,566",52%,"64,68,53,595",48%,2018
2,Jurassic World: Fallen Kingdom,1308467944.0,"41,77,19,760",31.90%,"89,07,48,184",68.10%,2018
3,Incredibles 2,1242805359.0,"60,85,81,744",49%,"63,42,23,615",51%,2018
4,Aquaman,1151961807.0,"33,50,61,807",29.10%,"81,69,00,000",70.90%,2018
5,Bohemian Rhapsody,903655259.0,"21,64,28,042",24%,"68,72,27,217",76%,2018
6,Venom,856085151.0,"21,35,15,506",24.90%,"64,25,69,645",75.10%,2018
7,Mission: Impossible 0 Fallout,791115104.0,"22,01,59,104",27.80%,"57,09,56,000",72.20%,2018
8,Deadpool 2,734546611.0,"31,84,91,426",43.40%,"41,60,55,185",56.60%,2018
9,Fantastic Beasts: The Crimes of Grindelwald,655755901.0,"15,95,55,901",24.30%,"49,62,00,000",75.70%,2018
10,Ant0Man and the Wasp,622674139.0,"21,66,48,740",34.80%,"40,60,25,399",65.20%,2018
11,Ready Player One,583490172.0,"13,76,90,172",23.60%,"44,58,00,000",76.40%,2018
12,Operation Red Sea,579330426.0,"15,43,547",0.30%,"57,77,86,879",99.70%,2018
13,Detective Chinatown 2,544185156.0,"19,83,984",0.40%,"54,22,01,172",99.60%,2018
14,Ralph Breaks the Internet,529323962.0,"20,10,91,711",38%,"32,82,32,251",62%,2018
15,The Meg,529243742.0,"14,54,43,742",27.50%,"38,38,00,000",72.50%,2018
16,Hotel Transylvania 3: Summer Vacation,528583774.0,"16,75,10,016",31.70%,"36,10,73,758",68.30%,2018
17,The Grinch,512453517.0,"27,14,78,510",53%,"24,09,75,007",47%,2018
18,Bumblebee,467989645.0,"12,71,95,589",27.20%,"34,07,94,056",72.80%,2018
19,Dying to Survive,451176639.0,0,0,"45,11,76,639",100%,2018
20,A Star Is Born,436388866.0,"21,52,88,866",49.30%,"22,11,00,000",50.70%,2018
21,Rampage,428128233.0,"10,10,28,233",23.60%,"32,71,00,000",76.40%,2018
22,Mamma Mia! Here We Go Again,395044706.0,"12,06,34,935",30.50%,"27,44,09,771",69.50%,2018
23,Solo: A Star Wars Story,392924807.0,"21,37,67,512",54.40%,"17,91,57,295",45.60%,2018
24,Spider0Man: Into the Spider0Verse,375582637.0,"19,02,41,310",50.70%,"18,53,41,327",49.30%,2018
25,Fifty Shades Freed,371985018.0,"10,04,07,760",27%,"27,15,77,258",73%,2018
26,Hello Mr. Billionaire,366961907.0,0,0,"36,69,61,907",100%,2018
27,The Nun,366050119.0,"11,74,50,119",32.10%,"24,86,00,000",67.90%,2018
28,Monster Hunt 2,361682618.0,"7,06,153",0.20%,"36,09,76,465",99.80%,2018
29,Peter Rabbit,351266433.0,"11,52,53,424",32.80%,"23,60,13,009",67.20%,2018
30,Mary Poppins Returns,349537494.0,"17,19,58,438",49.20%,"17,75,79,056",50.80%,2018
31,A Quiet Place,340939361.0,"18,80,24,361",55.10%,"15,29,15,000",44.90%,2018
32,Green Book,321752656.0,"8,50,80,171",26.40%,"23,66,72,485",73.60%,2018
33,Skyscraper,304868961.0,"6,84,20,120",22.40%,"23,64,48,841",77.60%,2018
34,Ocean's Eight,297718711.0,"14,02,18,711",47.10%,"15,75,00,000",52.90%,2018
35,Pacific Rim: Uprising,290930148.0,"5,98,74,525",20.60%,"23,10,55,623",79.40%,2018
36,Maze Runner: The Death Cure,288175335.0,"5,80,32,443",20.10%,"23,01,42,892",79.90%,2018
37,Tomb Raider,274950803.0,"5,82,50,803",21.20%,"21,67,00,000",78.80%,2018
38,Halloween,255485178.0,"15,93,42,015",62.40%,"9,61,43,163",37.60%,2018
39,Crazy Rich Asians,239032921.0,"17,45,32,921",73%,"6,45,00,000",27%,2018
40,Smallfoot,217940103.0,"8,32,40,103",38.20%,"13,47,00,000",61.80%,2018
41,Creed II,214215889.0,"11,57,15,889",54%,"9,85,00,000",46%,2018
42,Us and Them,209221380.0,0,0,"20,92,21,380",100%,2018
43,The Island,198326350.0,"6,70,883",0.30%,"19,76,55,467",99.70%,2018
44,Christopher Robin,197744377.0,"9,92,15,042",50.20%,"9,85,29,335",49.80%,2018
45,The Equalizer 2,190400157.0,"10,20,84,362",53.60%,"8,83,15,795",46.40%,2018
46,Project Gutenberg,188116796.0,0,0,"18,81,16,796",100%,2018
47,The Mule,174804407.0,"10,38,04,407",59.40%,"7,10,00,000",40.60%,2018
48,The Nutcracker and the Four Realms,173961069.0,"5,48,58,851",31.50%,"11,91,02,218",68.50%,2018
49,Insidious: The Last Key,167885588.0,"6,77,45,330",40.40%,"10,01,40,258",59.60%,2018
50,The Predator,160542134.0,"5,10,24,708",31.80%,"10,95,17,426",68.20%,2018
51,Johnny English Strikes Again,158970776.0,"44,12,170",2.80%,"15,45,58,606",97.20%,2018
52,Red Sparrow,151572634.0,"4,68,74,505",30.90%,"10,46,98,129",69.10%,2018
53,More Than Blue,142958164.0,"7,22,669",0.50%,"14,22,35,495",99.50%,2018
54,The First Purge,137056262.0,"6,94,88,745",50.70%,"6,75,67,517",49.30%,2018
55,How Long Will I Love U,136796719.0,"7,46,933",0.50%,"13,60,49,786",99.50%,2018
56,A Wrinkle in Time,132675864.0,"10,04,78,608",75.70%,"3,21,97,256",24.30%,2018
57,The House with a Clock in Its Walls,131457147.0,"6,85,49,695",52.10%,"6,29,07,452",47.90%,2018
58,Instant Family,120556201.0,"6,73,63,237",55.90%,"5,31,92,964",44.10%,2018
59,A Cool Fish,118153135.0,"5,51,876",0.50%,"11,76,01,259",99.50%,2018
60,Game Night,117679066.0,"6,91,79,066",58.80%,"4,85,00,000",41.20%,2018
61,Dragon Ball Super: Broly,115750445.0,"3,07,12,119",26.50%,"8,50,38,326",73.50%,2018
62,The Monkey King 3,115084576.0,"1,87,074",0.20%,"11,48,97,502",99.80%,2018
63,First Man,105697415.0,"4,49,36,545",42.50%,"6,07,60,870",57.50%,2018
64,Book Club,104438188.0,"6,85,66,296",65.70%,"3,58,71,892",34.30%,2018
65,Night School,103105878.0,"7,73,39,130",75%,"2,57,66,748",25%,2018
66,Detective Conan: Zero the Enforcer,101860359.0,0,0,"10,18,60,359",100%,2018
67,Alpha,99630675.0,"3,58,57,181",36%,"6,37,73,494",64%,2018
68,Along With the Gods: The Last 49 Days,97962238.0,"12,00,246",1.20%,"9,67,61,992",98.80%,2018
69,A Simple Favor,97644617.0,"5,35,48,586",54.80%,"4,40,96,031",45.20%,2018
70,Boonie Bears: The Big Shrink,96845907.0,0,0,"9,68,45,907",100%,2018
71,The Favourite,95918706.0,"3,43,66,783",35.80%,"6,15,51,923",64.20%,2018
72,Truth or Dare,95330493.0,"4,14,11,015",43.40%,"5,39,19,478",56.60%,2018
73,Kill Mobile,94870905.0,0,0,"9,48,70,905",100%,2018
74,I Feel Pretty,94539426.0,"4,87,95,601",51.60%,"4,57,43,825",48.40%,2018
75,Blockers,94017294.0,"6,03,11,495",64.10%,"3,37,05,799",35.90%,2018
76,BlacKkKlansman,93400823.0,"4,92,75,340",52.80%,"4,41,25,483",47.20%,2018
77,Goosebumps 2: Haunted Halloween,93320380.0,"4,67,00,633",50%,"4,66,19,747",50%,2018
78,Shadow,91708374.0,"5,21,396",0.60%,"9,11,86,978",99.40%,2018
79,Overboard,91244913.0,"5,03,16,123",55.10%,"4,09,28,790",44.90%,2018
