Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
104,Remember Me,56032889.0,"1,90,68,240",34%,"3,69,64,649",66%,2010
105,Cop Out,55611001.0,"4,48,75,481",80.70%,"1,07,35,520",19.30%,2010
106,Veda 0 Atatürk,55024621.0,0,0,"5,50,24,621",100%,2010
107,The Crazies,54806823.0,"3,91,23,589",71.40%,"1,56,83,234",28.60%,2010
108,Little White Lies,53319615.0,"2,06,088",0.40%,"5,31,13,527",99.60%,2010
109,From Paris with Love,52830951.0,"2,40,77,427",45.60%,"2,87,53,524",54.40%,2010
110,Detective Dee: The Mystery of the Phantom Flame,51899269.0,"4,59,836",0.90%,"5,14,39,433",99.10%,2010
111,Conference of Animals,51883642.0,0,0,"5,18,83,642",100%,2010
112,Daybreakers,51416464.0,"3,01,01,577",58.50%,"2,13,14,887",41.50%,2010
113,Alpha and Omega,50507267.0,"2,51,07,267",49.70%,"2,54,00,000",50.30%,2010
114,The Switch,49830607.0,"2,77,79,426",55.70%,"2,20,51,181",44.30%,2010
115,Space Battleship Yamato,49827298.0,0,0,"4,98,27,298",100%,2010
116,She's Out of My League,49779728.0,"3,20,10,860",64.30%,"1,77,68,868",35.70%,2010
117,Death at a Funeral,49050886.0,"4,27,39,347",87.10%,"63,11,539",12.90%,2010
118,How Do You Know,48668907.0,"3,02,12,620",62.10%,"1,84,56,287",37.90%,2010
119,Charlie St. Cloud,48190704.0,"3,11,62,545",64.70%,"1,70,28,159",35.30%,2010
120,Heartbreaker,48023509.0,"5,04,030",1%,"4,75,19,479",99%,2010
121,Scott Pilgrim vs. the World,47664559.0,"3,15,24,275",66.10%,"1,61,40,284",33.90%,2010
122,StreetDance 2,46960833.0,0,0,"4,69,60,833",100%,2010
123,Welcome to the South,45896492.0,0,0,"4,58,96,492",100%,2010
124,Machete,45491656.0,"2,65,93,646",58.50%,"1,88,98,010",41.50%,2010
125,Confessions,45203103.0,0,0,"4,52,03,103",100%,2010
126,Avatar 2010 Special Edition,44838548.0,"1,07,41,486",24%,"3,40,97,062",76%,2010
127,The Man from Nowhere,44723232.0,"5,28,175",1.20%,"4,41,95,057",98.80%,2010
128,Of Gods and Men,43803417.0,"39,51,596",9%,"3,98,51,821",91%,2010
129,Boy,43551154.0,"2,56,211",0.60%,"4,32,94,943",99.40%,2010
130,When in Rome,43053376.0,"3,26,80,633",75.90%,"1,03,72,743",24.10%,2010
131,My Name Is Khan,42345360.0,"40,18,771",9.50%,"3,83,26,589",90.50%,2010
132,Going the Distance,42059111.0,"1,78,04,299",42.30%,"2,42,54,812",57.70%,2010
133,Nodame Cantabile: The Movie II 2010 Re0release,41054604.0,0,0,"4,10,54,604",100%,2010
134,SP: The Motion Picture I,39674739.0,0,0,"3,96,74,739",100%,2010
135,Kokkuri0san: Gekijô0ban,37982240.0,0,0,"3,79,82,240",100%,2010
136,For Colored Girls,37981984.0,"3,77,29,698",99.30%,"2,52,286",0.70%,2010
137,Detective Conan: The Lost Ship in the Sky,36407407.0,0,0,"3,64,07,407",100%,2010
138,Secret Reunion,36298578.0,0,0,"3,62,98,578",100%,2010
139,Furry Vengeance,36288132.0,"1,76,30,465",48.60%,"1,86,57,667",51.40%,2010
140,You Will Meet a Tall Dark Stranger,35867322.0,"32,48,246",9.10%,"3,26,19,076",90.90%,2010
141,Faster,35626958.0,"2,32,40,020",65.20%,"1,23,86,938",34.80%,2010
142,The Kids Are All Right,34705850.0,"2,08,11,365",60%,"1,38,94,485",40%,2010
143,Doraemon The Movie: Nobita's Great Battle of the Mermaid King,34702573.0,0,0,"3,47,02,573",100%,2010
144,The Extraordinary Adventures of Adèle Blanc0Sec,34604339.0,0,0,"3,46,04,339",100%,2010
145,Camping 2,33857735.0,0,0,"3,38,57,735",100%,2010
146,Arthur 3: The War of the Two Worlds,33519334.0,0,0,"3,35,19,334",100%,2010
147,Dogwood Tree,33016351.0,0,0,"3,30,16,351",100%,2010
148,Leap Year,32686500.0,"2,59,18,920",79.30%,"67,67,580",20.70%,2010
149,Potiche,32309881.0,"16,18,844",5%,"3,06,91,037",95%,2010
150,You Again,32054369.0,"2,57,02,053",80.20%,"63,52,316",19.80%,2010
151,Raajneeti,29459596.0,"15,14,558",5.10%,"2,79,45,038",94.90%,2010
152,The Losers,29397654.0,"2,35,91,432",80.20%,"58,06,222",19.80%,2010
153,The Santa Claus Gang,29181330.0,0,0,"2,91,81,330",100%,2010
154,Sacrifice,29093560.0,"29,792",0.10%,"2,90,63,768",99.90%,2010
155,The Lady Shogun and Her Men,27769952.0,0,0,"2,77,69,952",100%,2010
156,Legend of the Fist: The Return of Chen Zhen,27390678.0,"50,433",0.20%,"2,73,40,245",99.80%,2010
157,Ramona and Beezus,27293743.0,"2,61,67,002",95.90%,"11,26,741",4.10%,2010
158,Splice 2010 Re0release,27127620.0,"1,70,10,170",62.70%,"1,01,17,450",37.30%,2010
159,Let Me In,27093592.0,"1,21,34,935",44.80%,"1,49,58,657",55.20%,2010
160,Fair Game,25798915.0,"95,40,691",37%,"1,62,58,224",63%,2010
161,The Round Up,25623521.0,0,0,"2,56,23,521",100%,2010
162,Christmas in South Africa,25362517.0,0,0,"2,53,62,517",100%,2010
163,Biutiful,25147786.0,"51,01,237",20.30%,"2,00,46,549",79.70%,2010
164,Six Degrees of Celebration,25030264.0,0,0,"2,50,30,264",100%,2010
165,Sarah's Key,24792815.0,"76,93,187",31%,"1,70,99,628",69%,2010
166,Lottery Ticket,24719879.0,"2,47,19,879",100%,0,0,2010
167,Liar Game: The Final Stage,24658706.0,0,0,"2,46,58,706",100%,2010
168,The Way Back,24172201.0,"27,01,859",11.20%,"2,14,70,342",88.80%,2010
169,Nasha Russia. Yaytsa sudby,24022125.0,0,0,"2,40,22,125",100%,2010
170,Just Call Me Nobody,23705022.0,0,0,"2,37,05,022",100%,2010
171,Act of Vengeance,23423390.0,0,0,"2,34,23,390",100%,2010
172,Under the Hawthorn Tree,23004431.0,0,0,"2,30,04,431",100%,2010
173,Recep Ivedik 3,22588876.0,0,0,"2,25,88,876",100%,2010
174,Villain,22414467.0,0,0,"2,24,14,467",100%,2010
175,A Thousand Words,22044277.0,"1,84,50,127",83.70%,"35,94,150",16.30%,2010
176,"Me, Them and Lara",22039646.0,0,0,"2,20,39,646",100%,2010
177,Moss,21925534.0,0,0,"2,19,25,534",100%,2010
178,22 Bullets,21695883.0,0,0,"2,16,95,883",100%,2010
179,Inazuma Eleven GO the Movie: The Ultimate Bonds Gryphon,21645379.0,0,0,"2,16,45,379",100%,2010
180,Just Wright,21584424.0,"2,15,40,363",99.80%,"44,061",0.20%,2010
181,My Soul to Take,21500813.0,"1,47,44,435",68.60%,"67,56,378",31.40%,2010
182,Our Family Wedding,21409028.0,"2,02,55,281",94.60%,"11,53,747",5.40%,2010
183,Astral City: A Spiritual Journey,21218935.0,0,0,"2,12,18,935",100%,2010
184,71: Into the Fire,20967660.0,"1,76,638",0.80%,"2,07,91,022",99.20%,2010
185,Country Strong,20529194.0,"2,02,18,921",98.50%,"3,10,273",1.50%,2010
186,Beck,20219060.0,0,0,"2,02,19,060",100%,2010
187,How Not to Rescue a Princess,20157447.0,0,0,"2,01,57,447",100%,2010
188,About Her Brother,19969473.0,0,0,"1,99,69,473",100%,2010
189,Trick the Movie: Psychic Battle Royale,19795115.0,0,0,"1,97,95,115",100%,2010
190,Hello Ghost,19774455.0,0,0,"1,97,74,455",100%,2010
191,Another Year,19722766.0,"32,05,706",16.30%,"1,65,17,060",83.70%,2010
192,Youth in Revolt,19651093.0,"1,52,81,286",77.80%,"43,69,807",22.20%,2010
193,Hot Summer Days,19573451.0,0,0,"1,95,73,451",100%,2010
194,Buried,19439764.0,"10,44,143",5.40%,"1,83,95,621",94.60%,2010
195,The Servant,19259164.0,0,0,"1,92,59,164",100%,2010
196,Norwegian Wood,19115721.0,"13,000",0,"1,91,02,721",99.90%,2010
197,Head Over Heels,18876082.0,0,0,"1,88,76,082",100%,2010
198,13 Assassins,18689058.0,"8,02,778",4.30%,"1,78,86,280",95.70%,2010
199,Green Zone 2010 Re0release,18495045.0,0,0,"1,84,95,045",100%,2010
0,Harry Potter and the Deathly Hallows: Part 2,1341511219.0,"38,10,11,219",28.40%,"96,05,00,000",71.60%,2011
1,Transformers: Dark of the Moon,1123794079.0,"35,23,90,543",31.40%,"77,14,03,536",68.60%,2011
2,Pirates of the Caribbean: On Stranger Tides,1045713802.0,"24,10,71,802",23.10%,"80,46,42,000",76.90%,2011
3,The Twilight Saga: Breaking Dawn 0 Part 1,712205856.0,"28,12,87,133",39.50%,"43,09,18,723",60.50%,2011
4,Mission: Impossible 0 Ghost Protocol,694713380.0,"20,93,97,903",30.10%,"48,53,15,477",69.90%,2011
5,Kung Fu Panda 2,665692281.0,"16,52,49,063",24.80%,"50,04,43,218",75.20%,2011
6,Fast Five,626137675.0,"20,98,37,675",33.50%,"41,63,00,000",66.50%,2011
7,The Hangover Part II,586764305.0,"25,44,64,305",43.40%,"33,23,00,000",56.60%,2011
8,The Smurfs,563749323.0,"14,26,14,158",25.30%,"42,11,35,165",74.70%,2011
9,Cars 2,559852396.0,"19,14,52,396",34.20%,"36,84,00,000",65.80%,2011
10,Puss in Boots,554987477.0,"14,92,60,504",26.90%,"40,57,26,973",73.10%,2011
11,Sherlock Holmes: A Game of Shadows,543848418.0,"18,68,48,418",34.40%,"35,70,00,000",65.60%,2011
12,Rio,483866518.0,"14,36,19,809",29.70%,"34,02,46,709",70.30%,2011
13,Rise of the Planet of the Apes,481800873.0,"17,67,60,185",36.70%,"30,50,40,688",63.30%,2011
14,Thor,449326618.0,"18,10,30,624",40.30%,"26,82,95,994",59.70%,2011
15,The Intouchables,426588510.0,"1,01,98,820",2.40%,"41,63,89,690",97.60%,2011
16,The Adventures of Tintin,373993951.0,"7,75,91,831",20.70%,"29,64,02,120",79.30%,2011
17,Captain America: The First Avenger,370569774.0,"17,66,54,505",47.70%,"19,39,15,269",52.30%,2011
18,X0Men: First Class,352616690.0,"14,64,08,305",41.50%,"20,62,08,385",58.50%,2011
19,Alvin and the Chipmunks: Chipwrecked,342695435.0,"13,31,10,742",38.80%,"20,95,84,693",61.20%,2011
